graph_id,edge_list
graph_0,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 19), (0, 21), (0, 23), (1, 4), (1, 5), (1, 8), (2, 5), (2, 13), (3, 6), (4, 5), (4, 10), (4, 11), (4, 14), (5, 6), (5, 7), (6, 8), (6, 10), (7, 8), (7, 14), (8, 9), (9, 10), (9, 13), (9, 19), (10, 11), (12, 15), (16, 17), (21, 22), (25, 26)"
graph_1,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (1, 4), (7, 8), (8, 9)"
graph_2,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 16), (0, 17), (0, 18), (0, 19), (0, 20), (1, 3), (1, 4), (1, 5), (1, 9), (1, 16), (2, 5), (2, 8), (3, 4), (3, 10), (4, 5), (4, 7), (4, 14), (5, 14), (6, 8), (7, 8), (7, 19), (10, 11), (11, 14), (13, 21), (15, 17), (19, 20), (21, 22)"
graph_3,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 19), (2, 5), (7, 8), (8, 9), (10, 12)"
graph_4,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 20), (1, 4), (1, 6), (7, 8), (8, 9), (15, 16)"
graph_5,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 17), (0, 19), (0, 21), (1, 14), (2, 3), (2, 4), (2, 5), (2, 6), (2, 9), (2, 13), (3, 4), (3, 6), (3, 14), (4, 5), (4, 7), (4, 12), (5, 15), (6, 8), (7, 9), (7, 10), (8, 10), (9, 10), (10, 12), (12, 13), (12, 20), (14, 16), (23, 26)"
graph_6,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 18), (0, 20), (1, 5), (2, 5), (4, 8), (5, 6), (5, 7), (5, 9), (7, 8), (7, 9), (7, 10), (8, 9), (9, 10), (9, 11)"
graph_7,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 19), (1, 4), (7, 8), (8, 9)"
graph_8,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 20), (0, 27), (1, 3), (5, 6), (5, 9), (5, 11), (6, 7), (7, 8), (8, 9), (9, 10), (9, 15), (10, 12), (11, 13), (16, 17), (18, 23)"
graph_9,"(0, 1), (0, 2), (0, 3), (0, 4), (0, 5), (0, 6), (0, 7), (0, 8), (0, 9), (0, 10), (0, 11), (0, 12), (0, 13), (0, 14), (0, 15), (0, 16), (0, 17), (0, 20), (0, 23), (1, 3), (1, 4), (1, 6), (2, 9), (3, 6), (3, 9), (4, 9), (4, 12), (4, 22), (8, 16), (11, 12), (11, 16), (12, 13), (12, 14), (13, 15), (14, 17), (16, 17), (20, 21)"
